
Cluster 1:
    Hour 12: 45539
    Hour 13: 47779
    Hour 14: 41882
    Hour 15: 45218
    Hour 16: 49326
    Hour 17: 49658
    Hour 18: 43789
    Hour 19: 45050
    Hour 20: 44501
    Hour 21: 46954
    Hour 22: 38291
    Hour 23: 36950

Cluster 8:
  Date: 2015-01-03
    Hour 03: 8646
    Hour 04: 5211
    Hour 05: 3378
    Hour 06: 2267
    Hour 07: 2971
    Hour 08: 5396
    Hour 09: 11272
    Hour 10: 18386
    Hour 11: 25694
    Hour 12: 28109
    Hour 13: 30761
    Hour 14: 30745
    Hour 15: 28095
    Hour 16: 25232
    Hour 17: 27499
    Hour 18: 28282
    Hour 19: 30722
    Hour 20: 31325
    Hour 21: 26781
    Hour 22: 21787
    Hour 23: 21582
  Date: 2015-01-04
    Hour 00: 19380
    Hour 01: 15626
    Hour 02: 10344
    Hour 03: 7076
    Hour 04: 4017
    Hour 05: 2451
    Hour 06: 1972
    Hour 07: 2778
    Hour 08: 6301
    Hour 09: 14767
    Hour 10: 21455
    Hour 11: 27649
    Hour 12: 27573
    Hour 13: 49290
    Hour 14: 49926
    Hour 15: 46159
    Hour 16: 48381
    Hour 17: 52443
    Hour 18: 55495
    Hour 19: 61189
    Hour 20: 59470
    Hour 21: 58013
    Hour 22: 43169
    Hour 23: 40960
  Date: 2015-01-05
    Hour 00: 41208
    Hour 01: 33719
    Hour 02: 23595
    Hour 03: 14552
    Hour 04: 9386
    Hour 05: 6033
    Hour 06: 3924
    Hour 07: 5162
    Hour 08: 11165
    Hour 09: 22470
    Hour 10: 36783
    Hour 11: 47718
    Hour 12: 48392
    Hour 13: 54400
    Hour 14: 51272
    Hour 15: 47551
    Hour 16: 47782
    Hour 17: 50754
    Hour 18: 55115
    Hour 19: 61069
    Hour 20: 59228
    Hour 21: 56192
    Hour 22: 44907
    Hour 23: 41897
  Date: 2015-01-06
    Hour 00: 39798
    Hour 01: 30247
    Hour 02: 19849
    Hour 03: 13505
    Hour 04: 7762
    Hour 05: 5399
    Hour 06: 4001
    Hour 07: 4939
    Hour 08: 10338
    Hour 09: 26630
    Hour 10: 42044
    Hour 11: 51074
    Hour 12: 54155
    Hour 13: 54578
    Hour 14: 47915
    Hour 15: 44925
    Hour 16: 48397
    Hour 17: 52473
    Hour 18: 52966
    Hour 19: 61838
    Hour 20: 64717
    Hour 21: 61958
    Hour 22: 47943
    Hour 23: 40334
  Date: 2015-01-07
    Hour 00: 41135
    Hour 01: 31641
    Hour 02: 22476
    Hour 03: 15809
    Hour 04: 8605
    Hour 05: 6409
    Hour 06: 4569
    Hour 07: 5693
    Hour 08: 12228
    Hour 09: 26625
    Hour 10: 39540
    Hour 11: 53042
    Hour 12: 55738
    Hour 13: 56240
    Hour 14: 48704
    Hour 15: 48078
    Hour 16: 52674
    Hour 17: 56443
    Hour 18: 58118
    Hour 19: 64607
    Hour 20: 69529
    Hour 21: 63870
    Hour 22: 46621
    Hour 23: 43111
